date,y_pct,y_dec
2016-01-04,8884.0,88.84
2016-01-05,8875.0,88.75
2016-01-06,8839.0,88.39
2016-01-07,8868.0,88.68
2016-01-08,8837.0,88.37
2016-01-10,8837.0,88.37
2016-01-11,8852.0,88.52
2016-01-12,8722.0,87.22
2016-01-13,8599.0,85.99
2016-01-14,8531.0,85.31
2016-01-15,8496.0,84.96
2016-01-18,8536.0,85.36
2016-01-19,8642.0,86.42
2016-01-20,8598.0,85.98
2016-01-21,8528.0,85.28
2016-01-22,8455.0,84.55
2016-01-25,8341.0,83.41
2016-01-26,8387.0,83.87
2016-01-27,8352.0,83.52
2016-01-28,8321.0,83.21
2016-01-29,8170.999999999999,81.71
2016-02-01,8048.999999999999,80.49
2016-02-02,8075.0,80.75
2016-02-03,8117.0,81.17
2016-02-04,8095.999999999999,80.96
2016-02-05,7966.0,79.66
2016-02-09,7979.000000000001,79.79
2016-02-10,7956.999999999999,79.57
2016-02-11,7843.000000000001,78.43
2016-02-12,7851.000000000001,78.51
2016-02-14,7851.000000000001,78.51
2016-02-15,7.84,0.0784
2016-02-16,7797.0,77.97
2016-02-17,7839.0,78.39
2016-02-18,7831.0,78.31
2016-02-19,7845.999999999999,78.46
2016-02-22,7858.0,78.58
2016-02-23,7842.0,78.42
2016-02-24,7901.000000000001,79.01
2016-02-25,7937.0,79.37
2016-02-26,7933.0,79.33
2016-02-29,7.960000000000001,0.0796
2016-03-01,7.969999999999999,0.0797
2016-03-02,7877.0,78.77
2016-03-03,7773.999999999999,77.74
2016-03-04,7738.0,77.38
2016-03-07,7566.0,75.66
2016-03-08,7583.0,75.83
2016-03-09,7583.0,75.83
2016-03-10,7548.0,75.48
2016-03-11,7466.0,74.66
2016-03-14,7339.0,73.39
2016-03-15,7354.000000000001,73.54
2016-03-16,7383.0,73.83
2016-03-17,7367.0,73.67
2016-03-18,7308.0,73.08
2016-03-21,7368.000000000001,73.68
2016-03-22,7406.999999999999,74.07
2016-03-23,7431.999999999999,74.32
2016-03-24,7456.999999999999,74.57
2016-03-28,7486.0,74.86
2016-03-29,7517.0,75.17
2016-03-30,7462.0,74.62
2016-03-31,7442.0,74.42
2016-04-01,7328.0,73.28
2016-04-04,7333.0,73.33
2016-04-05,7381.0,73.81
2016-04-06,7.37,0.0737
2016-04-07,7356.999999999999,73.57
2016-04-08,7.359999999999999,0.0736
2016-04-11,7334.999999999999,73.35
2016-04-12,7329.000000000001,73.29
2016-04-13,7284.999999999999,72.85
2016-04-14,7316.0,73.16
2016-04-15,7265.000000000001,72.65
2016-04-18,7306.0,73.06
2016-04-19,7264.0,72.64
2016-04-20,7238.0,72.38
2016-04-21,7231.999999999999,72.32
2016-04-22,7298.0,72.98
2016-04-25,7379.000000000001,73.79
2016-04-26,7377.0,73.77
2016-04-27,7366.0,73.66
2016-04-28,7365.000000000001,73.65
2016-04-29,7434.0,74.34
2016-05-02,7463.0,74.63
2016-05-03,7441.0,74.41
2016-05-04,7434.0,74.34
2016-05-09,7429.000000000001,74.29
2016-05-10,7494.0,74.94
2016-05-11,7509.0,75.09
2016-05-12,7542.0,75.42
2016-05-13,7.5,0.075
2016-05-16,7451.000000000001,74.51
2016-05-17,7443.000000000001,74.43
2016-05-18,7431.999999999999,74.32
2016-05-19,7537.0,75.37
2016-05-20,7594.0,75.94
2016-05-23,7613.0,76.13
2016-05-24,7593.000000000001,75.93
2016-05-25,7.539999999999999,0.0754
2016-05-26,7545.999999999999,75.46
2016-05-27,7542.0,75.42
2016-05-30,7548.0,75.48
2016-05-31,7556.999999999999,75.57
2016-06-01,7544.0,75.44
2016-06-02,7553.0,75.53
2016-06-03,7531.0,75.31
2016-06-06,7489.0,74.89
2016-06-07,7484.999999999999,74.85
2016-06-08,7438.0,74.38
2016-06-09,7405.0,74.05
2016-06-10,7456.0,74.56
2016-06-13,7455.0,74.55
2016-06-14,7456.999999999999,74.57
2016-06-15,7475.0,74.75
2016-06-16,7459.0,74.59
2016-06-17,7461.0,74.61
2016-06-20,7465.000000000001,74.65
2016-06-21,7501.000000000001,75.01
2016-06-22,7502.0,75.02
2016-06-23,7476.000000000001,74.76
2016-06-24,7545.0,75.45
2016-06-27,7581.0,75.81
2016-06-28,7484.0,74.84
2016-06-29,7386.0,73.86
2016-06-30,7303.0,73.03
2016-07-01,7275.0,72.75
2016-07-04,7188.0,71.88
2016-07-11,6958.0,69.58
2016-07-12,6961.0,69.61
2016-07-13,6970.999999999999,69.71
2016-07-14,7023.999999999999,70.24
2016-07-15,7014.0,70.14
2016-07-18,6973.0,69.73
2016-07-19,6939.0,69.39
2016-07-20,6.860000000000001,0.06860000000000001
2016-07-21,6838.0,68.38
2016-07-22,6.88,0.0688
2016-07-25,6923.0,69.23
2016-07-26,6929.000000000001,69.29
2016-07-27,6876.000000000001,68.76
2016-07-28,6.819999999999999,0.0682
2016-07-29,6775.0,67.75
2016-08-01,6726.000000000001,67.26
2016-08-02,6678.0,66.78
2016-08-03,6684.0,66.84
2016-08-04,6714.0,67.14
2016-08-05,6688.0,66.88
2016-08-06,6688.0,66.88
2016-08-08,6684.999999999999,66.85
2016-08-09,6704.000000000001,67.04
2016-08-10,6645.999999999999,66.46
2016-08-11,6634.999999999999,66.35
2016-08-12,6634.999999999999,66.35
2016-08-13,6634.999999999999,66.35
2016-08-14,6634.999999999999,66.35
2016-08-15,6.65,0.0665
2016-08-16,6645.999999999999,66.46
2016-08-18,6614.0,66.14
2016-08-19,6616.0,66.16
2016-08-22,6702.0,67.02
2016-08-23,6784.999999999999,67.85
